ticker,category,selected,rest
Spotify,Music,0.40396,0.20723
GES Seguros,Insurance,0.02481,0.02240
Emasa,Utilities,0.00418,0.00673
Seguros Lagun Aro,Insurance,0.04475,0.06479
Amazon Digital,E-commerce,0.00969,0.00468
Vente Privee,E-commerce,0.03308,0.03029
Paf,Gambling,0.01299,0.00598
Bidegi,Transportation,0.04656,0.05050
RCI Banque and Services,Financial Services,0.36490,0.41524
Clarel,Beauty,0.02502,0.02081
Odeon,Entertainment,0.00731,0.00629
Ticketsport.es,Sports,0.00100,0.00080
Ikea,Home Goods,1.35369,1.10382
Granier,Apparel,0.00677,0.00629
Terra Natura,Attractions,0.00215,0.00182
Facsa,Utilities,0.01290,0.01733
Llamaya,Telecom,0.00045,0.00121
Double Agent,Apparel,0.00224,0.00119
App Informatica,Electronics,0.00393,0.00702
Banggood,E-commerce,0.02679,0.02515
Froiz,Retail Stores,0.06956,0.06459
Aldeas infantiles,Non-Profit,0.03758,0.02475
Opencor,Financial Services,0.00465,0.00320
Maquillalia,Beauty,0.00269,0.00348
La Plaza de Dia,Grocery,0.09720,0.08180
Parque Warner,Entertainment,0.01442,0.00850
Neumaticos Soledad,Automotive,0.00985,0.01228
La Musa Latina,Restaurant,0.00155,0.00087
Rodi Motor,Automotive,0.01579,0.01543
SEUR,Logistics,0.00141,0.00245
Pikolin,Home Goods,0.00689,0.00624
Perrachica,Restaurant,0.00622,0.00398
Just Eat,Fast Food,0.58714,0.32682
KFC,Fast Food,0.04507,0.05148
El Mordisco,Restaurant,0.00161,0.00091
Aplazame,Financial Services,0.04656,0.04145
Aurgi,Retail Stores,0.02178,0.02702
La Pausa,Restaurant,0.00135,0.00115
Punt Roma,Restaurant,0.00726,0.01197
Carrefour,Grocery,2.56514,3.05515
Viajes El Corte Ingles,Travel,0.04330,0.04031
Deportes Halcon,Sports,0.00168,0.00280
Chubb european,Insurance,0.00877,0.00838
Bricomart,Home Goods,0.07899,0.11862
Renfe,Transportation,0.99105,0.77544
Aromas,Restaurant,0.00486,0.00585
Geox,Apparel,0.01654,0.01533
Energia XXI,Fuel,0.26779,0.32917
Wiggle,Sports,0.00399,0.00649
Linea Directa,Insurance,0.59627,0.83584
Emov,Transportation,0.02582,0.01366
Foot Locker,Apparel,0.02831,0.02838
Douglas,Beauty,0.02240,0.02196
Aqualandia,Attractions,0.00109,0.00139
Metro de Sevilla,Transportation,0.00395,0.00414
Wanna,Events,0.12978,0.10979
Ayuda en accion,Non-Profit,0.01579,0.01362
Hiper Usera,Grocery,0.00778,0.00795
American Express,Financial Services,0.06350,0.05692
Prosegur,Security Services,0.03539,0.02999
Curenergia,Energy,0.03249,0.04139
Rib's,Restaurant,0.02574,0.02232
Norauto,Automotive,0.10931,0.12616
Sfam,Retail Stores,0.03742,0.02268
Cines Verdi,Movies,0.00444,0.00134
Zippy,Children,0.00259,0.00290
Petromiralles,Fuel,0.00417,0.00705
Bioparc,Attractions,0.00302,0.00298
Kiabi,Apparel,0.08152,0.10261
BudgetAir,Travel,0.02075,0.02127
Wagamama,Restaurant,0.00417,0.00260
Amazon Kindle,E-commerce,0.05881,0.02821
Eurostars,Travel,0.02641,0.02080
Cinesur,Movies,0.00322,0.00353
Gasolineras Blancas/Libres/Otras,Fuel,0.31230,0.43593
Notikumi,Events,0.00595,0.00480
Seat,Automotive,0.00871,0.00846
UAB,Education,0.00856,0.00975
Jysk,Home Goods,0.01375,0.01137
Fismuler,Healthcare,0.00705,0.00345
Pomodoro,Restaurant,0.00536,0.00885
RKS Footwear,Apparel,0.00941,0.00596
Dunkin' Donuts,Restaurant,0.00049,0.00041
Loops&Coffee,Food,0.00015,0.00027
Llao llao,Restaurant,0.00188,0.00222
Bitiba,Fashion,0.01147,0.00710
Wizz Air,Airlines,0.02114,0.02392
Oysho,Apparel,0.12372,0.09352
Ale-Hop,Restaurant,0.00791,0.00895
Vincci,Travel,0.00724,0.00421
Panaria,Restaurant,0.00362,0.00271
Financiera El Corte Ingles,Financial Services,0.57044,0.50706
Camper,Apparel,0.00699,0.00480
Oculus,Gaming,0.00718,0.00386
Carrefour Estaciones de Servicio,Fuel,0.13638,0.20824
Mac Cosmetics,Beauty,0.00219,0.00178
Telpark,Transportation,0.04842,0.03632
Don Canino,Pet Supplies,0.00594,0.00202
Financiera Española de Credito a Distancia,Financial Services,0.05727,0.05522
Autogrill,Restaurant,0.00886,0.00586
Kiko Milano,Beauty,0.01031,0.00921
La Chelinda,Restaurant,0.00378,0.00292
Sonorama,Festivals,0.00685,0.00453
Wesmartpark,Parking,0.00337,0.00152
atresmedia,Media,0.00164,0.00074
Allianz,Insurance,0.46436,0.58789
Hiperdino,Grocery,0.07135,0.08299
Supercor,Grocery,0.29434,0.13751
Lizarran,Restaurant,0.01394,0.01300
Republica Movil,Telecom,0.00301,0.00781
Hollister,Apparel,0.03446,0.03294
Homeaway,Travel,0.01603,0.01122
Guess,Apparel,0.01650,0.01727
Super Perfumerias,Beauty,0.00285,0.00351
Meetic,Dating App,0.00595,0.00513
Lacoste,Apparel,0.00213,0.00241
Tussam,Transportation,0.00149,0.00122
Silken,Travel,0.00688,0.00557
Autoeurope,Rental Cars,0.00681,0.00756
Emasagra,Utilities,0.01837,0.02263
Compralaentrada.com,Tickets,0.00148,0.00113
Mercado Provenzal,Grocery,0.00025,0.00044
Botemania,Nightlife,0.03311,0.03666
Feuvert,Retail Stores,0.05762,0.06923
Catalana Occidente,Insurance,0.16216,0.20741
Kiehl's,Beauty,0.01406,0.00809
Marionnaud,Beauty,0.00542,0.00486
Intermarche,Grocery,0.00734,0.00732
Lycamobile,Telecom,0.00067,0.00202
Travelgenio.es,Travel,0.04732,0.04352
Midas,Automotive,0.02989,0.02698
Chicco,Children,0.00218,0.00254
Esso,Fuel,0.00871,0.00768
Mutua Madrileña,Insurance,0.81857,0.96241
Room Mate Hotels,Travel,0.00625,0.00256
Gros Mercat,Grocery,0.00955,0.02097
Adolfo Dominguez,Apparel,0.01524,0.01212
Mytaxi,Transportation,0.08475,0.03991
Deezer,Music,0.00209,0.00168
Cinesa,Entertainment,0.13915,0.09282
Clarks,Apparel,0.00906,0.00652
Shein,E-commerce,0.03487,0.03928
Oferplan,Discounts,0.00478,0.00675
Macson,Apparel,0.00772,0.00588
Uniqlo,Apparel,0.05572,0.02917
Universitat Oberta Catalunya,Education,0.07576,0.04288
Repsol Energia,Energy,0.01255,0.01289
Fundacion Teaming,Non-Profit,0.00629,0.00549
Mercedes Benz,Automotive,0.03636,0.03733
Marco Aldany,Apparel,0.01956,0.01813
Som Energia,Energy,0.05927,0.04701
SMAP,Parking,0.00142,0.00101
K-Tuin,Retail Stores,0.07600,0.06000
La Redoute,E-commerce,0.01627,0.01363
Cepsa,Fuel,0.90598,0.89906
Eroski Estaciones de Sercvicio,Fuel,0.01491,0.02613
Toys R Us,Retail Stores,0.04710,0.05034
Ubereats.com,Delivery,0.11733,0.08007
Mamma Mia,Restaurant,0.00227,0.00253
Blanco,Home Goods,0.00100,0.00155
Vodafone,Telecom,1.36512,2.23619
Habanera,Restaurant,0.00511,0.00329
Ahorramas,Grocery,0.57760,0.55464
Santander Generales,Insurance,0.07054,0.07729
Twins,Retail Stores,0.02869,0.04643
Northweek,Apparel,0.00321,0.00319
G Star,Apparel,0.00648,0.00556
La Mafia,Restaurant,0.00951,0.00908
Volkswagen Financial Services,Financial Services,0.89577,0.86308
Udaco,Education,0.00331,0.00217
Tino Gonzalez,Restaurant,0.00323,0.00537
Cashper,Financial Services,0.03041,0.03059
Intimissimi,Apparel,0.03831,0.03266
Ecooltra,Transportation,0.03306,0.01719
Guadalcesa,Utilities,0.00112,0.00109
Merkal,Grocery,0.03307,0.04540
