valuedate,revenue
2017-01-01,53418
2017-01-02,140443
2017-01-03,104517
2017-01-04,103869
2017-01-05,78204
2017-01-06,49434
2017-01-07,48204
2017-01-08,29854
2017-01-09,106179
2017-01-10,83517
2017-01-11,87450
2017-01-12,73400
2017-01-13,63065
2017-01-14,42460
2017-01-15,33983
2017-01-16,71865
2017-01-17,63259
2017-01-18,69996
2017-01-19,55033
2017-01-20,51176
2017-01-21,31675
2017-01-22,28176
2017-01-23,63314
2017-01-24,55449
2017-01-25,60273
2017-01-26,51057
2017-01-27,48159
2017-01-28,34368
2017-01-29,28761
2017-01-30,64700
2017-01-31,57022
2017-02-01,66273
2017-02-02,60977
2017-02-03,55725
2017-02-04,39539
2017-02-05,31731
2017-02-06,69098
2017-02-07,62295
2017-02-08,64211
2017-02-09,60799
2017-02-10,55961
2017-02-11,35061
2017-02-12,31263
2017-02-13,62333
2017-02-14,63081
2017-02-15,60617
2017-02-16,52840
2017-02-17,43210
2017-02-18,32746
2017-02-19,26213
2017-02-20,52122
2017-02-21,55993
2017-02-22,56996
2017-02-23,48836
2017-02-24,46495
2017-02-25,30809
2017-02-26,26795
2017-02-27,56563
2017-02-28,62110
2017-03-01,59394
2017-03-02,85060
2017-03-03,58775
2017-03-04,48269
2017-03-05,41245
2017-03-06,85373
2017-03-07,60123
2017-03-08,60008
2017-03-09,57223
2017-03-10,47677
2017-03-11,32141
2017-03-12,27690
2017-03-13,62361
2017-03-14,58304
2017-03-15,61863
2017-03-16,56903
2017-03-17,49378
2017-03-18,31587
2017-03-19,24504
2017-03-20,46828
2017-03-21,61181
2017-03-22,52911
2017-03-23,55667
2017-03-24,46817
2017-03-25,31241
2017-03-26,25404
2017-03-27,59464
2017-03-28,67086
2017-03-29,61385
2017-03-30,56389
2017-03-31,76208
2017-04-01,57595
2017-04-02,43113
2017-04-03,98626
2017-04-04,103988
2017-04-05,85479
2017-04-06,85547
2017-04-07,69562
2017-04-08,43407
2017-04-09,38425
2017-04-10,84456
2017-04-11,75018
2017-04-12,72042
2017-04-13,47856
2017-04-14,27895
2017-04-15,26353
2017-04-16,31590
2017-04-17,70570
2017-04-18,88499
2017-04-19,92043
2017-04-20,92748
2017-04-21,74169
2017-04-22,46079
2017-04-23,47093
