valuedate,revenue
2017-01-01,1872
2017-01-02,3167
2017-01-03,3338
2017-01-04,2436
2017-01-05,2231
2017-01-06,2036
2017-01-07,1962
2017-01-08,1742
2017-01-09,3861
2017-01-10,3369
2017-01-11,2318
2017-01-12,2768
2017-01-13,1929
2017-01-14,1482
2017-01-15,1357
2017-01-16,2438
2017-01-17,2340
2017-01-18,1984
2017-01-19,2305
2017-01-20,3974
2017-01-21,2442
2017-01-22,2197
2017-01-23,3633
2017-01-24,3646
2017-01-25,2632
2017-01-26,2076
2017-01-27,2936
2017-01-28,1991
2017-01-29,1841
2017-01-30,2899
2017-01-31,3590
2017-02-01,3045
2017-02-02,3404
2017-02-03,3211
2017-02-04,2114
2017-02-05,2069
2017-02-06,3569
2017-02-07,3332
2017-02-08,3249
2017-02-09,2531
2017-02-10,3443
2017-02-11,1722
2017-02-12,1836
2017-02-13,2921
2017-02-14,3522
2017-02-15,2255
2017-02-16,2273
2017-02-17,2010
2017-02-18,1566
2017-02-19,2196
2017-02-20,4647
2017-02-21,4073
2017-02-22,3762
2017-02-23,2812
2017-02-24,2717
2017-02-25,2012
2017-02-26,1805
2017-02-27,3456
2017-02-28,7291
2017-03-01,4247
2017-03-02,4949
2017-03-03,4008
2017-03-04,2543
2017-03-05,2247
2017-03-06,4356
2017-03-07,5247
2017-03-08,3635
2017-03-09,2897
2017-03-10,3178
2017-03-11,1802
2017-03-12,1849
2017-03-13,2723
2017-03-14,3346
2017-03-15,3206
2017-03-16,2265
2017-03-17,2382
2017-03-18,1589
2017-03-19,1947
2017-03-20,5033
2017-03-21,4179
2017-03-22,4056
2017-03-23,3461
2017-03-24,3079
2017-03-25,2157
2017-03-26,1942
2017-03-27,3787
2017-03-28,4149
2017-03-29,2403
2017-03-30,2226
2017-03-31,2823
2017-04-01,2851
2017-04-02,2334
2017-04-03,4857
2017-04-04,4561
2017-04-05,3345
2017-04-06,2814
2017-04-07,3960
2017-04-08,2611
2017-04-09,1898
2017-04-10,3987
2017-04-11,3911
2017-04-12,2976
2017-04-13,2635
2017-04-14,1757
2017-04-15,1890
2017-04-16,2000
2017-04-17,3881
2017-04-18,3133
2017-04-19,3088
2017-04-20,4618
2017-04-21,3492
2017-04-22,2593
2017-04-23,2342
2017-04-24,4361
2017-04-25,4710
2017-04-26,2693
2017-04-27,3745
2017-04-28,3445
2017-04-29,1873
2017-04-30,2688
2017-05-01,2257
2017-05-02,5249
2017-05-03,5575
2017-05-04,3882
2017-05-05,3804
2017-05-06,2274
2017-05-07,2336
2017-05-08,4364
2017-05-09,4853
2017-05-10,3376
2017-05-11,2915
2017-05-12,3135
2017-05-13,1743
2017-05-14,1856
2017-05-15,3964
2017-05-16,3730
2017-05-17,3289
2017-05-18,2578
2017-05-19,3342
2017-05-20,3898
2017-05-21,2460
2017-05-22,4450
2017-05-23,5068
