valuedate,revenue
2017-01-02,3649
2017-01-03,4187
2017-01-04,3987
2017-01-05,4223
2017-01-07,642
2017-01-08,459
2017-01-09,780
2017-01-10,703
2017-01-11,186
2017-01-12,376
2017-01-13,314
2017-01-14,390
2017-01-15,143
2017-01-16,661
2017-01-17,374
2017-01-18,85
2017-01-19,258
2017-01-20,516
2017-01-21,330
2017-01-22,159
2017-01-23,371
2017-01-25,55
2017-01-26,222
2017-01-27,191
2017-01-28,369
2017-01-29,78
2017-01-30,168
2017-01-31,475
2017-02-01,215
2017-02-02,128
2017-02-03,146
2017-02-04,611
2017-02-05,441
2017-02-06,274
2017-02-07,110
2017-02-08,297
2017-02-09,419
2017-02-10,1404
2017-02-11,714
2017-02-12,261
2017-02-13,2286
2017-02-14,2017
2017-02-15,466
2017-02-16,313
2017-02-17,598
2017-02-18,172
2017-02-20,254
2017-02-21,433
2017-02-22,29
2017-02-24,67
2017-02-25,99
2017-02-26,98
2017-02-27,232
2017-02-28,765
2017-03-02,104
2017-03-03,400
2017-03-04,364
2017-03-06,275
2017-03-07,54
2017-03-08,103
2017-03-09,428
2017-03-10,264
2017-03-11,256
2017-03-12,176
2017-03-13,94
2017-03-14,177
2017-03-15,75
2017-03-17,350
2017-03-18,115
2017-03-19,187
2017-03-20,376
2017-03-21,312
2017-03-22,130
2017-03-23,55
2017-03-24,133
2017-03-25,133
2017-03-26,69
2017-03-27,147
2017-03-28,69
2017-03-29,39
2017-03-30,68
2017-03-31,508
2017-04-01,187
2017-04-03,626
2017-04-04,311
2017-04-05,272
2017-04-06,88
2017-04-07,119
2017-04-08,97
2017-04-09,181
2017-04-10,357
2017-04-11,81
2017-04-12,371
2017-04-13,270
2017-04-14,23
2017-04-17,1106
2017-04-18,132
2017-04-19,39
2017-04-20,162
2017-04-21,494
2017-04-22,356
2017-04-23,148
2017-04-24,334
2017-04-25,108
2017-04-26,297
2017-04-27,177
2017-04-28,335
2017-04-29,326
2017-05-02,1782
2017-05-03,807
2017-05-04,1485
2017-05-05,2238
2017-05-06,2373
2017-05-07,342
2017-05-08,1260
2017-05-09,246
2017-05-10,606
2017-05-11,247
2017-05-12,609
2017-05-13,540
2017-05-14,10
2017-05-15,202
2017-05-16,402
2017-05-17,118
2017-05-18,104
2017-05-19,301
2017-05-20,237
2017-05-21,69
2017-05-22,1044
2017-05-23,222
2017-05-24,262
2017-05-25,29
2017-05-26,146
2017-05-27,492
2017-05-28,212
2017-05-29,118
2017-05-30,127
2017-05-31,75
2017-06-01,163
2017-06-02,560
2017-06-03,459
2017-06-04,25
2017-06-05,271
2017-06-06,274
2017-06-07,451
2017-06-08,415
2017-06-09,236
2017-06-10,84
2017-06-12,1331
2017-06-13,117
2017-06-14,846
2017-06-15,182
2017-06-16,572
2017-06-17,23
2017-06-18,153
2017-06-19,450
2017-06-20,804
2017-06-21,600
2017-06-22,1008
2017-06-23,262
2017-06-24,5
2017-06-25,163
2017-06-26,503
2017-06-27,178
2017-06-28,182
2017-06-29,164
2017-06-30,297
2017-07-01,325
2017-07-02,116
2017-07-03,203
2017-07-04,295
2017-07-05,124
2017-07-06,311
2017-07-07,765
2017-07-08,189
2017-07-09,141
2017-07-10,764
2017-07-11,1162
2017-07-12,219
2017-07-13,933
2017-07-14,244
2017-07-15,253
2017-07-16,88
2017-07-17,697
2017-07-18,245
2017-07-19,659
2017-07-20,240
2017-07-21,206
2017-07-24,533
2017-07-25,79
2017-07-26,464
2017-07-27,90
2017-07-28,153
2017-07-29,59
2017-07-31,311
2017-08-01,292
2017-08-02,615
2017-08-03,422
2017-08-04,101
2017-08-05,402
2017-08-07,545
2017-08-08,229
2017-08-09,529
2017-08-10,127
2017-08-11,574
2017-08-12,578
2017-08-13,262
2017-08-14,859
2017-08-15,192
2017-08-16,561
2017-08-17,443
2017-08-18,352
2017-08-19,74
2017-08-20,4
2017-08-21,144
2017-08-22,108
2017-08-23,235
2017-08-24,277
2017-08-25,290
2017-08-26,282
2017-08-27,10
2017-08-28,103
2017-08-29,233
2017-08-30,86
2017-08-31,197
2017-09-01,299
2017-09-02,124
2017-09-03,157
2017-09-04,389
2017-09-05,150
2017-09-06,212
2017-09-07,248
2017-09-08,277
2017-09-09,35
2017-09-10,277
2017-09-11,291
2017-09-12,522
2017-09-13,277
2017-09-14,537
2017-09-15,452
2017-09-16,102
2017-09-17,210
2017-09-18,221
2017-09-19,197
2017-09-20,386
2017-09-21,288
2017-09-22,452
2017-09-23,591
2017-09-24,75
2017-09-25,159
2017-09-26,173
2017-09-27,193
2017-09-28,366
2017-09-29,366
2017-09-30,391
2017-10-01,79
2017-10-02,246
2017-10-03,188
2017-10-04,51
2017-10-05,270
2017-10-06,277
2017-10-07,406
2017-10-08,286
2017-10-09,509
2017-10-10,232
2017-10-11,15
2017-10-12,240
2017-10-13,541
2017-10-14,61
2017-10-16,382
2017-10-17,303
2017-10-18,552
2017-10-19,158
2017-10-20,444
2017-10-21,390
2017-10-23,666
2017-10-24,45
2017-10-25,74
2017-10-26,188
2017-10-27,451
2017-10-28,112
2017-10-30,311
2017-10-31,111
2017-11-01,333
2017-11-02,415
2017-11-03,482
2017-11-04,421
2017-11-05,75
2017-11-06,542
2017-11-07,427
2017-11-08,133
2017-11-09,350
2017-11-10,289
2017-11-11,82
2017-11-12,69
2017-11-13,191
2017-11-14,288
2017-11-15,396
2017-11-16,104
2017-11-17,730
2017-11-18,306
2017-11-19,5
2017-11-20,744
2017-11-21,216
2017-11-22,39
2017-11-23,156
2017-11-24,587
2017-11-25,107
2017-11-26,322
2017-11-27,525
2017-11-28,49
2017-11-30,782
2017-12-01,444
2017-12-02,312
2017-12-03,59
2017-12-04,368
2017-12-05,473
2017-12-06,306
2017-12-07,889
2017-12-08,686
2017-12-09,602
2017-12-10,256
2017-12-11,1080
2017-12-12,1053
2017-12-13,573
2017-12-14,849
2017-12-15,682
2017-12-16,944
2017-12-17,588
2017-12-18,1316
2017-12-19,936
2017-12-20,1368
2017-12-21,1301
2017-12-22,2032
2017-12-23,2207
2017-12-24,1807
2017-12-25,147
2017-12-26,2247
2017-12-27,1130
2017-12-28,1551
2017-12-29,1570
2017-12-30,1990
2017-12-31,245
2018-01-01,246
2018-01-02,3695
2018-01-03,5170
2018-01-04,4135
2018-01-05,4325
2018-01-07,794
2018-01-08,890
2018-01-09,357
2018-01-10,604
2018-01-11,431
2018-01-12,415
2018-01-13,622
2018-01-14,55
2018-01-15,243
2018-01-17,399
2018-01-18,249
2018-01-19,118
2018-01-20,706
2018-01-21,64
2018-01-22,262
2018-01-23,560
2018-01-24,332
2018-01-25,230
2018-01-26,207
2018-01-27,201
2018-01-28,6
2018-01-29,435
2018-01-30,193
2018-01-31,261
2018-02-01,572
2018-02-02,620
2018-02-03,285
2018-02-05,89
2018-02-06,104
2018-02-07,653
2018-02-08,1136
2018-02-09,177
2018-02-10,651
2018-02-11,329
2018-02-12,619
2018-02-13,1620
2018-02-14,2814
2018-02-15,272
2018-02-16,382
2018-02-17,438
2018-02-19,69
2018-02-20,385
2018-02-21,640
2018-02-22,573
2018-02-23,335
2018-02-24,215
2018-02-25,39
2018-02-26,754
2018-02-27,101
2018-02-28,165
2018-03-01,374
2018-03-02,742
2018-03-03,303
2018-03-04,59
2018-03-05,490
2018-03-06,13
2018-03-07,709
2018-03-08,881
2018-03-09,353
2018-03-10,352
2018-03-11,100
2018-03-12,241
2018-03-13,202
2018-03-14,412
2018-03-15,626
2018-03-16,490
2018-03-17,250
2018-03-18,65
2018-03-19,185
2018-03-20,68
2018-03-21,98
2018-03-22,108
2018-03-23,497
2018-03-24,627
2018-03-26,313
2018-03-27,98
2018-03-28,656
2018-03-29,245
2018-03-30,58
2018-03-31,166
2018-04-01,152
2018-04-02,658
2018-04-03,266
2018-04-04,1476
2018-04-05,406
2018-04-06,598
2018-04-07,543
2018-04-08,52
2018-04-09,280
2018-04-10,319
2018-04-11,128
2018-04-12,276
