ticker,category,selected,rest
Wanna,Events,0.10153,0.11152
Ayuda en accion,Non-Profit,0.01080,0.01388
Hiper Usera,Grocery,0.00479,0.00805
American Express,Financial Services,0.03820,0.05807
Wizz Air,Airlines,0.02204,0.02379
Loops&Coffee,Food,0.00022,0.00026
Llao llao,Restaurant,0.00215,0.00220
Bitiba,Fashion,0.00789,0.00739
Oysho,Apparel,0.03212,0.09788
Ale-Hop,Restaurant,0.00591,0.00898
Vincci,Travel,0.00522,0.00439
Panaria,Restaurant,0.00289,0.00277
Financiera El Corte Ingles,Financial Services,0.36435,0.51670
Banggood,E-commerce,0.07405,0.02352
Froiz,Retail Stores,0.06156,0.06505
Aldeas infantiles,Non-Profit,0.02026,0.02583
Opencor,Financial Services,0.00594,0.00320
Sfam,Retail Stores,0.04220,0.02303
Cines Verdi,Movies,0.00217,0.00154
Zippy,Children,0.00108,0.00294
Petromiralles,Fuel,0.01788,0.00645
Bioparc,Attractions,0.00271,0.00299
Kiabi,Apparel,0.08152,0.10185
Prosegur,Security Services,0.00929,0.03112
Curenergia,Energy,0.02965,0.04118
Rib's,Restaurant,0.03539,0.02210
Norauto,Automotive,0.12082,0.12514
Seat,Automotive,0.00974,0.00843
UAB,Education,0.00941,0.00968
Jysk,Home Goods,0.00730,0.01169
Fismuler,Healthcare,0.00150,0.00378
Pomodoro,Restaurant,0.00959,0.00857
RKS Footwear,Apparel,0.00214,0.00635
Dunkin' Donuts,Restaurant,0.00062,0.00041
Aurgi,Retail Stores,0.02629,0.02667
La Pausa,Restaurant,0.00058,0.00118
Punt Roma,Restaurant,0.00534,0.01187
Neumaticos Soledad,Automotive,0.01645,0.01196
La Musa Latina,Restaurant,0.00065,0.00093
Rodi Motor,Automotive,0.02284,0.01519
SEUR,Logistics,0.00432,0.00230
Spotify,Music,0.46352,0.21217
GES Seguros,Insurance,0.01696,0.02277
Emasa,Utilities,0.00675,0.00655
Seguros Lagun Aro,Insurance,0.03930,0.06426
Amazon Digital,E-commerce,0.00867,0.00489
Vente Privee,E-commerce,0.01243,0.03113
Paf,Gambling,0.00237,0.00661
Bidegi,Transportation,0.06243,0.04979
RCI Banque and Services,Financial Services,0.42469,0.41130
Clarel,Beauty,0.01155,0.02144
Odeon,Entertainment,0.00945,0.00625
Energia XXI,Fuel,0.23724,0.32806
Wiggle,Sports,0.00340,0.00642
App Informatica,Electronics,0.04220,0.00554
Ticketsport.es,Sports,0.00052,0.00082
Ikea,Home Goods,1.14255,1.12035
Granier,Apparel,0.00753,0.00628
Terra Natura,Attractions,0.00102,0.00187
Facsa,Utilities,0.00875,0.01732
Llamaya,Telecom,0.00105,0.00116
Double Agent,Apparel,0.00068,0.00129
Linea Directa,Insurance,0.59103,0.82742
Emov,Transportation,0.01713,0.01441
Foot Locker,Apparel,0.02902,0.02836
Maquillalia,Beauty,0.00242,0.00346
La Plaza de Dia,Grocery,0.08361,0.08284
Parque Warner,Entertainment,0.01831,0.00857
BudgetAir,Travel,0.01410,0.02149
Wagamama,Restaurant,0.00370,0.00267
Amazon Kindle,E-commerce,0.05611,0.02940
Eurostars,Travel,0.02245,0.02114
Cinesur,Movies,0.00302,0.00352
Gasolineras Blancas/Libres/Otras,Fuel,0.41693,0.42775
Notikumi,Events,0.00840,0.00475
Douglas,Beauty,0.01350,0.02229
Aqualandia,Attractions,0.00105,0.00138
Metro de Sevilla,Transportation,0.00476,0.00411
Carrefour,Grocery,2.57495,3.03719
Viajes El Corte Ingles,Travel,0.03891,0.04057
Deportes Halcon,Sports,0.00194,0.00275
Chubb european,Insurance,0.00748,0.00844
Bricomart,Home Goods,0.05538,0.11804
Renfe,Transportation,0.95611,0.78443
Aromas,Restaurant,0.00334,0.00587
Geox,Apparel,0.01216,0.01553
Just Eat,Fast Food,1.17114,0.31529
KFC,Fast Food,0.07746,0.05010
El Mordisco,Restaurant,0.00152,0.00094
Aplazame,Financial Services,0.12214,0.03893
Pikolin,Home Goods,0.00555,0.00631
Perrachica,Restaurant,0.00202,0.00421
Camper,Apparel,0.00361,0.00500
Oculus,Gaming,0.03832,0.00287
Carrefour Estaciones de Servicio,Fuel,0.09194,0.20725
Mac Cosmetics,Beauty,0.00096,0.00184
Telpark,Transportation,0.03471,0.03724
Don Canino,Pet Supplies,0.00400,0.00223
Financiera Española de Credito a Distancia,Financial Services,0.11129,0.05336
Autogrill,Restaurant,0.00715,0.00603
Kiko Milano,Beauty,0.00280,0.00952
La Chelinda,Restaurant,0.00301,0.00297
Sonorama,Festivals,0.00246,0.00477
Wesmartpark,Parking,0.00478,0.00154
atresmedia,Media,0.00154,0.00077
Allianz,Insurance,0.35464,0.58737
Hiperdino,Grocery,0.06627,0.08275
Supercor,Grocery,0.13741,0.14875
Lizarran,Restaurant,0.01755,0.01291
Republica Movil,Telecom,0.00552,0.00755
Hollister,Apparel,0.03629,0.03293
Homeaway,Travel,0.00807,0.01168
Guess,Apparel,0.00936,0.01750
Super Perfumerias,Beauty,0.00157,0.00353
Meetic,Dating App,0.00954,0.00503
Lacoste,Apparel,0.00138,0.00243
Tussam,Transportation,0.00266,0.00118
Silken,Travel,0.00617,0.00565
Autoeurope,Rental Cars,0.00461,0.00762
Emasagra,Utilities,0.02097,0.02238
Compralaentrada.com,Tickets,0.00167,0.00114
Mercado Provenzal,Grocery,0.00017,0.00043
Botemania,Nightlife,0.04132,0.03624
Feuvert,Retail Stores,0.07818,0.06808
Catalana Occidente,Insurance,0.15202,0.20614
Kiehl's,Beauty,0.00328,0.00869
Marionnaud,Beauty,0.00431,0.00492
Intermarche,Grocery,0.01466,0.00706
Lycamobile,Telecom,0.00149,0.00194
Travelgenio.es,Travel,0.04510,0.04374
Midas,Automotive,0.02440,0.02728
Chicco,Children,0.00128,0.00256
Esso,Fuel,0.00559,0.00783
Mutua Madrileña,Insurance,0.80232,0.95782
Room Mate Hotels,Travel,0.00275,0.00282
Gros Mercat,Grocery,0.02958,0.01985
Adolfo Dominguez,Apparel,0.00583,0.01257
Mytaxi,Transportation,0.07110,0.04201
Deezer,Music,0.00423,0.00162
Cinesa,Entertainment,0.15259,0.09400
Clarks,Apparel,0.00495,0.00676
Shein,E-commerce,0.02482,0.03948
Oferplan,Discounts,0.00520,0.00666
Macson,Apparel,0.00963,0.00588
Uniqlo,Apparel,0.02655,0.03117
Universitat Oberta Catalunya,Education,0.10737,0.04293
Repsol Energia,Energy,0.00819,0.01304
Fundacion Teaming,Non-Profit,0.00418,0.00559
Mercedes Benz,Automotive,0.02903,0.03756
Marco Aldany,Apparel,0.01515,0.01834
Som Energia,Energy,0.04959,0.04779
SMAP,Parking,0.00060,0.00105
K-Tuin,Retail Stores,0.05280,0.06140
La Redoute,E-commerce,0.00908,0.01398
Cepsa,Fuel,0.89930,0.89955
Eroski Estaciones de Sercvicio,Fuel,0.02441,0.02539
Toys R Us,Retail Stores,0.03536,0.05065
Ubereats.com,Delivery,0.14543,0.08040
Mamma Mia,Restaurant,0.00176,0.00254
Blanco,Home Goods,0.00044,0.00155
Vodafone,Telecom,1.81441,2.18883
Habanera,Restaurant,0.00140,0.00349
Ahorramas,Grocery,0.41499,0.56128
Santander Generales,Insurance,0.04197,0.07807
Twins,Retail Stores,0.03151,0.04569
Northweek,Apparel,0.00583,0.00310
G Star,Apparel,0.00313,0.00571
La Mafia,Restaurant,0.00887,0.00912
Volkswagen Financial Services,Financial Services,0.90697,0.86385
Udaco,Education,0.00206,0.00226
Tino Gonzalez,Restaurant,0.00289,0.00530
Cashper,Financial Services,0.01701,0.03106
Intimissimi,Apparel,0.01595,0.03366
Ecooltra,Transportation,0.02537,0.01804
Guadalcesa,Utilities,0.00054,0.00111
Merkal,Grocery,0.03080,0.04504
Reparalia,Home Improvement,0.00292,0.00446
Euskaltel,Telecom,0.10510,0.10064
Logitravel.com,Travel,0.03588,0.03643
Saba Aparcamientos,Transportation,0.00809,0.00973
Agoda.com,Travel,0.00231,0.00439
Toy Planet,Retail Stores,0.00269,0.00721
Airbnb.com,Travel,0.63153,0.57161
Oxfam Interman,Non-Profit,0.02721,0.02231
La Tagliatella,Restaurant,0.14495,0.11088
Perfumerias Laguna,Beauty,0.00100,0.00145
Claire's,Apparel,0.00449,0.00687
Only You Hotels,Travel,0.00078,0.00202
Metro Barcelona,Transportation,0.24220,0.13049
Caser,Insurance,0.16176,0.27594
Auto Res,Insurance,0.00773,0.00634
Faunia,Attractions,0.00376,0.00487
Hertz,Transportation,0.04511,0.04033
AMA Seguros,Insurance,0.05014,0.06267
Amazonico,Restaurant,0.00152,0.00283
Spagnolo,Restaurant,0.00035,0.00151
PSN,Gaming,0.01061,0.02629
Alimerka,Grocery,0.10963,0.13629
Reale,Insurance,0.09754,0.19082
Aviva,Insurance,0.01422,0.00972
Honda Bank,Financial Services,0.10118,0.06503
Starbucks,Restaurant,0.05221,0.03681
Ibis Budget,Travel,0.00588,0.00613
Starlite,Events,0.00121,0.00408
Petit Bateau,Children,0.00060,0.00182
Balearia,Transportation,0.02059,0.02296
Budget,Rental Cars,0.00207,0.00367
Adidas,Apparel,0.07623,0.08699
Querol,Grocery,0.00318,0.00464
Condis Express,Grocery,0.00750,0.00509
La Vaca Argentina,Restaurant,0.00190,0.00143
Wish,E-commerce,0.04696,0.04287
Super Amara,Grocery,0.02484,0.02662
Chicfy,E-commerce,0.00166,0.00786
Bimba y Lola,Apparel,0.01453,0.03564
Uber,Transportation,0.21818,0.15354
Subway,Fast Food,0.00763,0.00424
Dormity,Home Goods,0.00573,0.00743
EDP HC Energia,Energy,0.02145,0.03679
HBO,Streaming,0.11365,0.05033
El Ganso,Apparel,0.01024,0.01907
Steam,Gaming,1.22495,0.01124
Vitaldent,Healthcare,0.00857,0.00577
Nautalia,Travel,0.01026,0.01844
Perfumeria If,Beauty,0.00072,0.00127
PETuluku,Pet Supplies,0.00683,0.00490
Top Recambios,Automotive,0.00196,0.00725
Peggy Sue's,Restaurant,0.00141,0.00129
Bricoking,Home Improvement,0.00111,0.00210
Esquiades.com,Travel,0.01312,0.01942
Paco Martinez,Restaurant,0.00598,0.00966
Centauro,Sports,0.00632,0.00437
Blizzard,Gaming,0.14780,0.00659
Scalpers,Apparel,0.02619,0.04483
Ubisoft,Gaming,0.02166,0.00111
MasMovil,Telecom,0.15636,0.15491
Dia Market,Grocery,0.01252,0.00890
Calvin Klein,Apparel,0.00891,0.01090
Plus Fresc,Grocery,0.02801,0.03235
Game,Gaming,0.64382,0.18352
Euromaster,Automotive,0.00481,0.00665
Tryp,Travel,0.00918,0.00751
Paga+tarde,Financial Services,0.06355,0.02794
Wizink,Financial Services,0.44212,0.78629
Guissona,Grocery,0.00261,0.00411
Privalia,E-commerce,0.07234,0.15086
Cinepolis,Movies,0.00302,0.00161
NBQ Fund One,Financial Services,0.02898,0.03078
Autema,Automotive,0.00124,0.00099
Accesos de Madrid,Transportation,0.00306,0.00343
Servicios Financieros Carrefour,Financial Services,0.47396,0.86988
Perfumarte,Beauty,0.00079,0.00161
Domestic & General,Insurance,0.00520,0.00524
Dreambeach,Festivals,0.01025,0.00396
Brownie,Food,0.00255,0.00546
Verti,Insurance,0.08365,0.09730
Lefties,Apparel,0.04542,0.08437
Cines Lys,Movies,0.00145,0.00101
Tradicionarius,Food,0.00074,0.00039
Restaurante Ikea,Restaurant,0.01802,0.01750
MarcaApuestas,Gambling,0.00658,0.00760
Tesco,Grocery,0.01495,0.00897
GM Oil,Automotive,0.01594,0.01707
Basic Fit,Fitness,0.05149,0.03441
Papizza,Restaurant,0.00206,0.00161
Simply,Grocery,0.25682,0.26398
Max Colchon,Home Goods,0.00942,0.01106
Eurest,Restaurant,0.01663,0.01378
Aegon,Insurance,0.06106,0.06510
Metro Ligero Oeste,Transportation,0.00173,0.00187
Neocine,Movies,0.00289,0.00231
CPP,Financial Services,0.00150,0.00149
Tommy Hilfiger,Apparel,0.02190,0.01757
Promod,Apparel,0.00139,0.00512
El Corte Ingles Seguros,Insurance,0.02171,0.03176
Deliveroo,Delivery,0.29756,0.11579
Fnac,Retail Stores,0.58418,0.27088
Lufthansa,Airlines,0.04177,0.03371
Lupa,Financial Services,0.05006,0.09642
Deporticket,Tickets,0.00329,0.00416
Filmin,Streaming,0.00479,0.00235
Electro Depot,Electronics,0.00444,0.00606
BBVA Consumer Finance,Financial Services,0.09455,0.11421
Sephora,Beauty,0.03964,0.06281
Amoma.com,Travel,0.01066,0.01132
AC Hotels,Travel,0.00277,0.00232
Kaspersky,Cybersecurity,0.00444,0.00191
Paco perfumerias,Beauty,0.00407,0.00628
Sport Zone,Retail Stores,0.00952,0.01177
Sagardi,Restaurant,0.00300,0.00135
Caja Rural,Banking,0.01935,0.04226
Pedro del Hierro,Apparel,0.00490,0.00724
Autopista Madrid Levante,Transportation,0.00163,0.00165
Meroil,Fuel,0.02639,0.02187
Okeysi,Financial Services,0.00060,0.00258
Segurcaixa,Insurance,0.20035,0.34111
Lebara,Telecom,0.00065,0.00247
Legalitas,Legal Services,0.01180,0.01497
La Casa de la Carcasa,Electronics,0.00573,0.00754
Zara Home,Home Goods,0.05779,0.10978
El Arbol,Restaurant,0.06853,0.07176
Groupalia,Discounts,0.00401,0.00518
Ibis Hotels,Travel,0.02385,0.01691
Showroomprive,E-commerce,0.00567,0.00945
Perfumeria Julia,Beauty,0.00245,0.00361
La Sirena,Restaurant,0.04566,0.03744
Abercrombie,Apparel,0.01860,0.00978
Amazon Prime Now,Delivery,0.16810,0.06697
Massimo Dutti,Apparel,0.15221,0.21415
Virgin Active,Fitness,0.01740,0.01051
Udon,Restaurant,0.03669,0.01807
MM Globalis,Travel,0.01659,0.02038
BodyBell,Fitness,0.01727,0.02865
Mad Cool Festival,Events,0.00580,0.00461
Museo Guggenheim,Attractions,0.00159,0.00156
Booking.com,Travel,0.20501,0.21821
Aristocrazy,Apparel,0.00434,0.00764
Purificacion Garcia,Fashion,0.00221,0.00581
Rodilla,Retail Stores,0.01360,0.01378
Tous,Jewelry,0.03144,0.03956
La Maquina de Chamberi,Restaurant,0.00165,0.00238
Expedia.es,Travel,0.03116,0.03369
Oney Servicios Financieros,Financial Services,0.17979,0.39780
Pc Box,Electronics,0.02692,0.00630
Worten,Electronics,0.08918,0.08202
NH Collection,Travel,0.00385,0.00601
Sabadell Consumer Finance,Financial Services,0.18722,0.25492
Fifty Factory,Apparel,0.01899,0.03096
Canal Isabel II,Utilities,0.14250,0.21606
Amazon Prime,Subscription Services,0.20961,0.12727
Costco,Grocery,0.09448,0.11723
Cash Lepe,Financial Services,0.01673,0.02427
Amichi,Apparel,0.00213,0.00574
Esclat,Grocery,0.09817,0.08723
JCA Cinemes,Movies,0.00326,0.00116
Ausol,Transportation,0.00866,0.01331
Dia,Grocery,0.63323,0.76544
Uber Eats,Delivery,0.02925,0.01589
Gambrinus,Restaurant,0.00568,0.00614
Tarjeta Inditex,Loyalty,0.01585,0.09376
Lola Rey,Apparel,0.00319,0.00415
Bijou Brigitte,Jewelry,0.00545,0.00930
Mega Calzado,Apparel,0.00768,0.00679
C&A,Apparel,0.08530,0.08196
La Cantina,Restaurant,0.00274,0.00334
Atmosfera Sport,Sports,0.00380,0.00206
Audasa,Transportation,0.00697,0.00709
Toyota (SO),Automotive,0.01294,0.01778
Cajamar Caja Rural,Banking,0.01907,0.02458
Tezenis,Apparel,0.01330,0.03078
Cottet Online,Apparel,0.00503,0.00489
Mustang,Apparel,0.00211,0.00361
Rakuten,E-commerce,0.00519,0.00334
Duty Free Dubai,Retail Stores,0.00082,0.00114
Nails Factory,Beauty,0.00128,0.00718
Top Queens,Nightlife,0.00057,0.00154
Sky,Streaming,0.00276,0.00137
DKV,Healthcare,0.07142,0.11327
Abanca,Financial Services,0.09978,0.08400
La Fonda,Restaurant,0.00170,0.00318
Kreditech,Financial Services,0.01708,0.02052
Orange,Telecom,1.21493,1.69572
Vip Smart,Financial Services,0.01190,0.00810
Aguas de Alicante,Utilities,0.00987,0.01177
Melia,Travel,0.01547,0.02639
Ocaso,Insurance,0.10665,0.21156
Totto,Travel,0.00082,0.00094
Toyota Kreditbank,Financial Services,0.22198,0.19785
BMW Financial Services,Financial Services,0.14942,0.22558
Ryanair,Travel,0.41393,0.45842
Aguas de Barcelona,Utilities,0.10283,0.09959
Cooltra,Transportation,0.00614,0.00427
BBVA Seguros,Insurance,0.15952,0.27015
Netflix,Streaming,0.68956,0.33118
Pilar Prieto,Beauty,0.00087,0.00320
Opticalia,Eyewear,0.01546,0.01702
La Chalana,Restaurant,0.00150,0.00167
Lime,Transportation,0.00246,0.00168
Kinepolis,Entertainment,0.05347,0.02770
Costco Estacion de Servicio,Fuel,0.02389,0.04017
Rip Curl,Apparel,0.00139,0.00247
Pepe Energy,Energy,0.03719,0.03726
Charanga,Restaurant,0.00038,0.00163
Tuc tuc,Children,0.00110,0.00381
Iberdrola,Fuel,1.66009,2.28149
Eroski City,Grocery,0.04618,0.04004
Veritas,Healthcare,0.01823,0.02875
Eje Aeropuerto,Transportation,0.00056,0.00053
Acnur,Non-Profit,0.09507,0.06929
Cines El Punt,Movies,0.00161,0.00083
Apple Store,Electronics,0.27635,0.21979
Drivy,Rental Cars,0.00361,0.00397
Mulaya,Restaurant,0.00220,0.00568
Lucera Energia Colectiva,Energy,0.02259,0.02122
Eurekakids,Retail Stores,0.00408,0.00614
Aumar,Grocery,0.05522,0.06898
Ginos,Restaurant,0.04441,0.03676
Sorea,Travel,0.04433,0.05772
Petit Palace,Travel,0.00417,0.00309
Nanos,Food,0.00096,0.00455
La Nevera Roja,Restaurant,0.00995,0.00346
IMQ,Healthcare,0.02911,0.05561
La Balear,Travel,0.00092,0.00084
Converse,Apparel,0.00296,0.00449
Yelmo Cines,Entertainment,0.08494,0.05146
Arepa Ole,Restaurant,0.00049,0.00058
Pepephone,Telecom,0.31777,0.19638
MK2 Palacio de Hielo,Movies,0.00116,0.00117
Dideco,Retail Stores,0.00370,0.01039
JD Sports,Sports,0.00305,0.00479
Instant Money,Financial Services,0.07082,0.06171
Avis,Transportation,0.06082,0.04763
4 tickets,Tickets,0.00394,0.00300
Samsung,Electronics,0.05955,0.04946
Intel Security (McAfee),Cybersecurity,0.01082,0.00708
Bigmat,Home Improvement,0.00182,0.00593
La sureña,Restaurant,0.00297,0.00270
Gocco,Restaurant,0.00446,0.01476
Parkapp,Parking,0.00070,0.00069
Rumbo.es,Travel,0.08033,0.09124
Alteza,Accessories,0.00144,0.00414
Rituals,Beauty,0.02137,0.02595
Supercor Express,Grocery,0.07653,0.07569
Masymas,Grocery,0.06464,0.08408
Planeta Huerto,Garden,0.00354,0.00522
Santagloria,Restaurant,0.00384,0.00523
Pizzart,Restaurant,0.00056,0.00046
Cortefiel,Apparel,0.07382,0.11769
Fenix Directo,Insurance,0.04902,0.06693
Juanita Cruz,Apparel,0.00030,0.00088
Casa Ametller,Restaurant,0.06825,0.06617
Sixt,Transportation,0.06170,0.04338
Medicos sin fronteras,Non-Profit,0.05385,0.04924
Vivagym,Fitness,0.03051,0.03046
Electroprecio,Electronics,0.00676,0.01046
Unicef,Non-Profit,0.03963,0.05106
Xbox Live,Gaming,0.01155,0.00287
Trucco,Beauty,0.00280,0.00471
Lush,Beauty,0.01478,0.01418
Whitby,Apparel,0.00071,0.00154
Tako Away,Delivery,0.00176,0.00073
Hema,Retail Stores,0.00230,0.00293
Primavera Sound,Festivals,0.00177,0.00164
COS,Apparel,0.00309,0.00832
Adamo Telecom,Telecom,0.01838,0.01098
Balumba,E-commerce,0.08384,0.04242
Alain Afflelou,Eyewear,0.01575,0.01368
Zalando,E-commerce,0.14687,0.15040
Interzoo,Pet Supplies,0.00301,0.00191
El Perro y la Galleta,Restaurant,0.00126,0.00100
Dinosol,Attractions,0.00133,0.00346
Ole Lola,Apparel,0.00048,0.00061
Bershka,Apparel,0.08201,0.15376
Pelayo,Insurance,0.13992,0.16514
Pizzeria Carlos,Fast Food,0.00831,0.00539
New Yorker,Apparel,0.00330,0.00329
Primor,Retail Stores,0.05663,0.10670
KLM,Airlines,0.02964,0.02745
